0	1
AND(AND(OR(ratcliff(x.givenName,y.givenName)|0.45,OR(AND(levenshtein(x.label,y.label)|1.0,jaccard(x.label,y.label)|1.0)|0.45,ratcliff(x.label,y.givenName)|0.45)|1.0)|1.0,levenshtein(x.label,y.givenName)|0.45)|0.45,ratcliff(x.givenName,y.label)|1.0)	a link will be generated on the assumption that the givenNames of the source and the target have a Ratcliff similarity of 45% and the labels of the source and the target have a Levenshtein similarity and a Jaccard similarity of 100% or the label of the source and the givenName of the target have a Ratcliff similarity and a Levenshtein similarity of 45% and the givenName of the source and the label of the target have a Ratcliff similarity of 100%
OR(OR(qgrams(x.label,y.label)|0.0,cosine(x.name,y.label)|0.37)|0.0,OR(jaroWinkler(x.name,y.name)|0.0,qgrams(x.name,y.label)|0.37)|0.0)	a link will be generated whenever the labels of the source and the target have a Qgrams similarity of 0% or the name of the source and the label of the target have a Cosine similarity of 37% or the names of the source and the target have a Jarowinkler similarity of 0% or the name of the source and the label of the target have a Qgrams similarity of 37%
OR(AND(cosine(x.title,y.description)|0.0,OR(AND(trigrams(x.title,y.description)|0.25,levenshtein(x.description,y.description)|0.0)|0.0,soundex(x.title,y.description)|0.25)|0.0)|0.0,trigrams(x.description,y.description)|0.25)	a link will be generated if the title of the source and the description of the target have a Cosine similarity of 0% and a Trigrams similarity of 25% and the descriptions of the source and the target have a Levenshtein similarity of 0% or the title of the source and the description of the target have a Soundex similarity of 25% or the descriptions of the source and the target have a Trigrams similarity of 25%
OR(OR(trigrams(x.name,y.name)|0.0,OR(OR(jaroWinkler(x.authors,y.authors)|0.37,jaccard(x.name,y.name)|0.0)|0.0,trigrams(x.name,y.name)|0.37)|0.37)|0.0,jaroWinkler(x.name,y.name)|0.37)	a link will be made on the occasion thatthe names of the source and the target have a Trigrams similarity of 0% or the authors of the source and the target have a Jarowinkler similarity of 37% or the names of the source and the target have a Jaccard similarity of 0% or a Trigrams similarity or a Jarowinkler similarity of 37%
AND(AND(AND(qgrams(x.name,y.name)|0.45,AND(AND(jaccard(x.label,y.label)|0.37,qgrams(x.name,y.name)|0.37)|0.45,soundex(x.label,y.label)|0.45)|0.37)|0.37,levenshtein(x.name,y.name)|0.45)|0.45,qgrams(x.label,y.label)|0.37)	a link will be built when the names of the source and the target have a Qgrams similarity of 45% and the labels of the source and the target have a Jaccard similarity of 37% and the names of the source and the target have a Qgrams similarity of 37% and the labels of the source and the target have a Soundex similarity of 45% and the names of the source and the target have a Levenshtein similarity of 45% and the labels of the source and the target have a Qgrams similarity of 37%
OR(OR(trigrams(x.description,y.description)|0.0,cosine(x.firstName,y.description)|0.37)|0.0,OR(mongeElkan(x.firstName,y.firstName)|0.0,trigrams(x.firstName,y.description)|0.37)|0.0)	a link will be generated on the occasion that the descriptions of the source and the target have a Trigrams similarity of 0% or the firstName of the source and the description of the target have a Cosine similarity of 37% or the firstNames of the source and the target have a Mongeelkan similarity of 0% or the firstName of the source and the description of the target have a Trigrams similarity of 37%
OR(OR(cosine(x.firstName,y.authors)|0.45,OR(OR(qgrams(x.firstName,y.authors)|0.37,overlap(x.authors,y.authors)|0.45)|0.45,soundex(x.firstName,y.authors)|0.37)|0.45)|0.45,qgrams(x.authors,y.authors)|0.37)	a link will be generated whenever the firstName of the source and the author of the target have a Cosine similarity of 45% or a Qgrams similarity of 37% or the authors of the source and the target have an Overlap similarity of 45% or the firstName of the source and the author of the target have a Soundex similarity of 37% or the authors of the source and the target have a Qgrams similarity of 37%
AND(AND(soundex(x.name,y.name)|0.45,AND(OR(levenshtein(x.name,y.streetName)|1.0,cosine(x.name,y.name)|0.45)|0.45,soundex(x.name,y.name)|1.0)|1.0)|0.45,levenshtein(x.name,y.name)|1.0)	a link will be generated if the names of the source and the target have a Soundex similarity of 45% or the name of the source and the streetName of the target have a Levenshtein similarity of 100% or the names of the source and the target have a Cosine similarity of 45% and a Soundex similarity and a Levenshtein similarity of a 100%
OR(OR(OR(trigrams(x.title,y.title)|0.0,AND(OR(cosine(x.movie,y.movie)|0.25,trigrams(x.title,y.title)|0.25)|0.0,soundex(x.movie,y.movie)|0.0)|0.25)|0.25,jaroWinkler(x.title,y.title)|0.0)|0.0,trigrams(x.movie,y.movie)|0.25)	a link can be discovered when the titles of the source and the target have a Trigrams similarity of 0% or the movies of the source and the target have a Cosine similarity of 25% or the titles of the source and the target have a Trigrams similarity of 25% and the movies of the source and the target have a Soundex similarity of 0% or the titles of the source and the target have a Jarowinkler similarity of 0% or the movies of the source and the target have a Trigrams similarity of 25%
OR(OR(OR(soundex(x.name,y.name)|0.0,OR(OR(levenshtein(x.streetName,y.streetName)|0.25,cosine(x.streetName,y.streetName)|0.25)|0.0,soundex(x.streetName,y.name)|0.0)|0.25)|0.25,levenshtein(x.streetName,y.name)|0.0)|0.0,soundex(x.name,y.streetName)|0.25)	a link can be created when the names of the source and the target have a Soundex similarity of 0% or the streetNames of the source and the target have a Levenshtein similarity or a Cosine similarity of 25% or the streetName of the source and the name of the target have a Soundex similarity or a Levenshtein similarity of 0% or the name of the source and the streetName of the target have a Soundex similarity of 25%
OR(OR(ratcliff(x.givenName,y.givenName)|0.62,OR(AND(jaroWinkler(x.givenName,y.director)|0.25,cosine(x.givenName,y.givenName)|0.62)|0.62,ratcliff(x.givenName,y.givenName)|0.25)|0.25)|0.62,jaroWinkler(x.givenName,y.givenName)|0.25)	a link will be made when the givenNames of the source and the target have a Ratcliff similarity of 62% and the givenName of the source and the director of the target have a Jarowinkler similarity of 25% and the givenNames of the source and the target have a Cosine similarity of 62% or a Ratcliff similarity or a Jarowinkler similarity of 25%
AND(OR(jaccard(x.givenName,y.streetName)|0.0,AND(OR(trigrams(x.givenName,y.streetName)|0.25,levenshtein(x.streetName,y.streetName)|0.0)|0.0,soundex(x.givenName,y.streetName)|0.25)|0.0)|0.0,trigrams(x.streetName,y.streetName)|0.25)	a link will be generated if the givenName of the source and the streetName of the target have a Jaccard similarity of 0% or a Trigrams similarity of 25% or the streetNames of the source and the target have a Levenshtein similarity of 0% and the givenName of the source and the streetName of the target have a Soundex similarity of 25% and the streetNames of the source and the target have a Trigrams similarity of 25%
AND(AND(AND(qgrams(x.givenName,y.givenName)|0.62,AND(AND(cosine(x.streetName,y.streetName)|0.37,qgrams(x.givenName,y.givenName)|0.37)|0.62,ratcliff(x.streetName,y.streetName)|0.62)|0.37)|0.37,jaroWinkler(x.givenName,y.givenName)|0.62)|0.62,qgrams(x.streetName,y.streetName)|0.37)	a link will be made if the givenNames of the source and the target have a Qgrams similarity of 62% and the streetNames of the source and the target have a Cosine similarity of 37% and the givenNames of the source and the target have a Qgrams similarity of 37% and the streetNames of the source and the target have a Ratcliff similarity of 62% and the givenNames of the source and the target have a Jarowinkler similarity of 62% and the streetNames of the source and the target have a Qgrams similarity of 37%
OR(AND(cosine(x.title,y.label)|0.45,OR(AND(qgrams(x.title,y.label)|1.0,levenshtein(x.label,y.label)|0.45)|0.45,soundex(x.title,y.label)|1.0)|0.45)|0.45,qgrams(x.label,y.label)|1.0)	a link will be found in case that the title of the source and the label of the target have a Cosine similarity of 45% and a Qgrams similarity of 100% and the labels of the source and the target have a Levenshtein similarity of 45% or the title of the source and the label of the target have a Soundex similarity of 100% or the labels of the source and the target have a Qgrams similarity of 100%
OR(AND(jaccard(x.givenName,y.director)|0.62,OR(AND(qgrams(x.givenName,y.director)|0.25,levenshtein(x.director,y.director)|0.62)|0.62,soundex(x.givenName,y.director)|0.25)|0.62)|0.62,qgrams(x.director,y.director)|0.25)	a link can be made with the condition thatthe givenName of the source and the director of the target have a Jaccard similarity of 62% and a Qgrams similarity of 25% and the directors of the source and the target have a Levenshtein similarity of 62% or the givenName of the source and the director of the target have a Soundex similarity of 25% or the directors of the source and the target have a Qgrams similarity of 25%
AND(AND(qgrams(x.givenName,y.givenName)|0.45,AND(AND(levenshtein(x.label,y.label)|1.0,cosine(x.givenName,y.givenName)|0.45)|0.45,qgrams(x.givenName,y.givenName)|1.0)|1.0)|0.45,levenshtein(x.givenName,y.givenName)|1.0)	a link will be built immediately upon the givenNames of the source and the target have a Qgrams similarity of 45% and the labels of the source and the target have a Levenshtein similarity of 100% and the givenNames of the source and the target have a Cosine similarity of 45% and a Qgrams similarity and a Levenshtein similarity of a 100%
OR(OR(ratcliff(x.firstName,y.firstName)|0.45,OR(OR(levenshtein(x.firstName,y.movie)|1.0,jaccard(x.firstName,y.firstName)|0.45)|0.45,ratcliff(x.firstName,y.firstName)|1.0)|1.0)|0.45,levenshtein(x.firstName,y.firstName)|1.0)	a link will be generated on the occasion that the firstNames of the source and the target have a Ratclon the occasion thatf similarity of 45% or the firstName of the source and the movie of the target have a Levenshtein similarity of 100% or the firstNames of the source and the target have a Jaccard similarity of 45% or a Ratclon the occasion thatf similarity or a Levenshtein similarity of 100%
AND(AND(AND(qgrams(x.name,y.name)|0.62,OR(AND(jaccard(x.description,y.description)|0.25,qgrams(x.name,y.name)|0.25)|0.62,ratcliff(x.description,y.description)|0.62)|0.25)|0.25,mongeElkan(x.name,y.name)|0.62)|0.62,qgrams(x.description,y.description)|0.25)	a link can be made when the names of the source and the target have a Qgrams similarity of 62% and the descriptions of the source and the target have a Jaccard similarity of 25% and the names of the source and the target have a Qgrams similarity of 25% or the descriptions of the source and the target have a Ratcliff similarity of 62% and the names of the source and the target have a Mongeelkan similarity of 62% and the descriptions of the source and the target have a Qgrams similarity of 25%
OR(OR(trigrams(x.name,y.name)|0.62,OR(OR(overlap(x.movie,y.movie)|0.37,cosine(x.name,y.name)|0.62)|0.62,trigrams(x.name,y.name)|0.37)|0.37)|0.62,overlap(x.name,y.name)|0.37)	a link will be generated whenever the names of the source and the target have a Trigrams similarity of 62% or the movies of the source and the target have an Overlap similarity of 37% or the names of the source and the target have a Cosine similarity of 62% or a Trigrams similarity or an Overlap similarity of 37%
